"Depth","TCell_cnt_ml","TCell_cnt_SD","Cyn_Cells_mean","Cyn_Cells_sd","C_D0_Alpha_div_Cells","C_D1_Alpha_div_Cells","sd.D1_cells","C_D2_Alpha_div_Cells","sd.D2_cells","Evenness_cells","CV_cells","Sample_name.y","PCoA_Cells_SYBR_Axis1","PCoA_Cells_SYBR_Axis2","VLP_p_ml","VLP_sd_ml","V_Axis.1_Pcoa","V_Axis.2_Pcoa","VLP_Eigen_values","V_alpha_D0","V_alpha_D1","V_sd.D1","V_alpha_D2","V_sd.D2","VMR"
1,104666.666666667,1527.52523165195,23666.66667,577.3502692,17483.6666666667,5844.79480902438,56.0895615846578,3534.38539577119,56.0271731385495,0.256074823745763,198.816871986669,NA,0.208530138171623,-0.029742688023124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,106000,3605.55127546399,25333.33333,577.3502692,17529.6666666667,5571.78453339426,61.1361744343911,3103.06546267901,51.8185514234909,0.251357549525663,215.629680799163,NA,0.19093269639913,0.156375571041182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,95666.6666666667,4041.45188432738,21666.66667,577.3502692,17999.3333333333,6071.8499353169,59.6709333153026,3515.0903212819,52.1293621377741,0.26293673476091,203.046035416158,NA,0.264277932413979,-0.0907486918196024,72734310.2367783,4504964.2882951,0.0174082387890653,0.0189619113114981,0.0171552305805876,18806.6666666667,5701.84500836222,155.137554294133,2259.97468968439,184.787984900354,760.288957178867
4,164000,6244.9979983984,32333.33333,577.3502692,17679,5805.6221913417,62.9803977804096,3279.03221318417,54.8388865592187,0.257515660642758,209.915770285147,NA,0.211369867069299,0.0671373735484498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,86666.6666666667,1527.52523165195,41666.66667,2081.665999,16874.3333333333,5252.53938998142,56.2836183028035,3061.64396595045,51.1752135459368,0.240985242200868,212.453591739704,NA,0.200832177525723,0.0318874035536747,70269433.106576,15018219.112924,0.00632568787162492,0.186593543259005,0.0140705926420874,17971,5499.61244415457,142.752509970846,2257.24658948322,179.540079975819,810.801151229723
6,150000,1000,52333.33333,1154.700538,16379.6666666667,5068.50545526021,75.775596702307,2512.6691124789,62.6289544005458,0.25569064587034,235.08221247117,NA,0.178776852849604,0.36605301986439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,157333.333333333,577.350269189626,42333.33333,1527.525232,16112.6666666667,4868.63807350494,60.2009685897075,2745.47256290053,55.2003659488296,0.236696225912794,220.738519325809,NA,0.263625509600133,0.184776040670991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,74666.6666666667,577.350269189626,30666.66667,577.3502692,18924.6666666667,8177.2365078432,48.9209635397529,5780.12241685347,48.6927708062962,0.320271036116199,150.791529299677,NA,0.0141059902600649,-0.234278640316043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,73000,3000,43666.66667,1154.700538,19217,8767.13805480824,56.555747388261,5885.1158060345,60.3990939078852,0.3428814492955,150.527080596344,NA,0.0154921127976469,-0.16962436213259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,87666.6666666667,1527.52523165195,43333.33333,1154.700538,18942.3333333333,7993.64657460649,52.8827324580329,5368.79568437322,51.3494480306194,0.315901133941179,159.032541756778,NA,0.0213345980104518,-0.213005431534091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,104333.333333333,1527.52523165195,25333.33333,2081.665999,18454.3333333333,7386.08673791817,58.3972332927431,4571.79591404516,55.1120465810031,0.30612139247278,174.603242111851,NA,0.110769171342896,-0.208611050618194,171345477.337887,26288244.8977028,0.0159026796890486,-0.0473776298132098,0.0134897442602107,12780.3333333333,4347.64823464176,121.973503872335,1841.23843752219,150.605597455895,1642.28892017144
12,110666.666666667,7637.62615825973,40333.33333,577.3502692,19130,7562.70993715515,64.3993973687052,4566.16410999696,63.6645637900297,0.304381387183461,178.704449375253,NA,0.0872026247056414,-0.0483951701380834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,95333.3333333333,2309.4010767585,29000,1000,18853,8071.33401629723,59.4971371758586,5468.70931389464,63.6316857958534,0.321144884584907,156.469198828898,NA,-0.100315298455316,0.0372215121939715,152087893.881184,9928587.15138726,0.170688191107562,-0.0590272199887159,0.0123309954998362,13544,4486.89941662886,124.955129284949,1913.89105334098,163.398090349581,1595.32755819424
13.5,152666.666666667,4932.88286231625,24500,707.1067812,18647.6666666667,5944.1771047599,54.0248397059819,3484.07413680208,47.8244633313775,0.248670772931134,208.650753589002,NA,0.144350018466246,-0.0500376301610267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,742000,17691.8060129541,309333.3333,12013.88086,19460.3333333333,7789.00422723154,56.8476874278592,5348.55605334816,64.6589427352173,0.29821718306474,162.460796031501,NA,-0.24744048463427,0.0905649321661838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,905000,28583.2118559129,212333.3333,11590.22577,20474,9413.65612646284,61.206837211595,6477.03228673632,71.4943614987311,0.345969084538996,147.056493914585,NA,-0.268947764691041,0.032617488758928,142709765.825333,7407629.95282785,0.067485576237133,-0.111703437794642,0.342308987842309,13743.6666666667,4892.10594670918,123.676177044152,2159.05064015114,173.662856304961,157.690348978269
15.5,585000,18330.3027798234,190000,2000,20948,9174.07459122905,69.0860453525508,5925.22556914889,76.9561918861879,0.332452730088889,159.240824089072,NA,-0.246056017039109,0.0434130641470119,148248347.274825,10494569.4746,-0.226588294640729,-0.0454756069406286,0.0726326708495981,13367,4951.14010981917,112.799444841886,2285.65843904531,160.473345485139,253.415978247564
16,461000,10440.3065089105,171666.6667,8504.900548,20762,9176.38043328273,68.7726492026603,5992.16998344649,76.60414953499,0.334745685256535,157.006207957762,NA,-0.23740245339311,-0.0285232955598796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,434666.666666667,11718.9305541646,166666.6667,2081.665999,21182,9481.03674147326,67.6558523946853,6242.03814488155,77.0687566713994,0.338914286619901,154.771447326803,NA,-0.250459734888856,-0.0389251325996134,140365461.613217,32705549.1454356,-0.0326172799125015,0.00308881398343986,0.00942618248046889,16115,5159.45430052326,129.445264611974,2215.23517894659,172.760197505456,322.92667549053
18,450666.666666667,10598.7420637231,169333.3333,1154.700538,20993.6666666667,9385.5983062164,67.0808994651629,6181.86452001734,77.2844428886415,0.338534030259887,154.847440658813,NA,-0.276738862721224,0.0356667597026851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,397000,7810.24967590665,148000,9848.857802,21100.3333333333,9201.821835313,70.8457687657924,5894.85950488361,77.1737753604387,0.331953775804541,160.738734725578,NA,-0.284239073789511,0.0661789272547802,143954609.653385,16212239.4881177,0.0286154832713952,0.00733967018011143,0.0102777458101342,16076.6666666667,5240.9548999822,134.979831505798,2233.99905373942,184.992427582433,362.606069655882
